Timestamp, Iteration, Pressure, Depth, Ext Temp, Int Temp, Euler X, Euler Y, Euler Z, GYRO X, GYRO Y, GYRO Z, LINEAR X, LINEAR Y, LINEAR Z, ACCL X, ACCL Y, ACCL Z, GRAV X, GRAV Y, GRAV Z, Errors
11226,0,0.00,-10.04,20.00,INTERNAL TEMP,77.25,-45.75,-95.25,0.00,0.00,-0.02,-0.04,0.00,0.07,-7.08,6.79,-0.55,-7.03,6.80,-0.63,1
11798,1,0.00,-10.04,20.00,INTERNAL TEMP,76.38,-44.88,-95.19,0.00,0.00,0.05,0.08,0.00,0.05,-6.83,6.92,-0.57,-6.91,6.92,-0.63,1
12371,2,0.00,-10.04,20.00,INTERNAL TEMP,76.75,-45.25,-95.19,-0.02,-0.02,-0.09,-0.27,-0.10,0.00,-7.24,6.76,-0.62,-6.97,6.86,-0.62,1
12947,3,0.00,-10.04,20.00,INTERNAL TEMP,73.75,-42.25,-94.88,-0.00,0.00,0.01,0.04,-0.02,0.02,-6.55,7.20,-0.59,-6.59,7.22,-0.62,1
13521,4,0.00,-10.04,20.00,INTERNAL TEMP,76.25,-44.69,-96.38,0.21,0.21,-0.21,-0.61,0.14,-1.04,-7.51,7.07,-1.82,-6.90,6.91,-0.80,1
14096,5,0.00,-10.04,20.00,INTERNAL TEMP,170.13,-22.69,-154.44,2.19,1.77,0.88,-0.58,0.77,2.68,-4.53,4.94,-5.40,-3.60,3.76,-8.30,1
14668,6,0.00,-10.04,20.00,INTERNAL TEMP,178.44,3.75,176.00,-0.01,-0.28,0.02,1.90,0.13,0.40,1.93,-0.34,-9.46,0.61,-0.67,-9.76,1
15246,7,0.00,-10.04,20.00,INTERNAL TEMP,222.88,1.13,171.56,0.17,-0.12,0.01,-0.42,0.72,-1.06,-0.23,-0.72,-10.76,0.18,-1.44,-9.69,1
15817,8,0.00,-10.04,20.00,INTERNAL TEMP,221.19,0.38,168.31,0.73,0.55,-0.21,-1.80,3.39,5.10,-1.73,1.41,-4.49,0.07,-1.97,-9.60,1
16391,9,0.00,-10.04,20.00,INTERNAL TEMP,250.00,6.88,153.00,0.70,0.77,1.25,-1.24,2.41,2.73,-0.06,-2.00,-5.94,1.17,-4.41,-8.67,1
16963,10,0.00,-10.04,20.00,INTERNAL TEMP,210.25,41.94,117.25,0.62,2.91,-0.97,2.05,-1.57,2.91,8.61,-8.04,-0.42,6.56,-6.47,-3.34,1
17541,11,0.00,-10.04,20.00,INTERNAL TEMP,249.13,47.19,95.13,-1.08,0.26,0.10,0.07,-0.66,1.95,6.65,-7.69,1.84,7.19,-6.62,-0.65,1
18115,12,0.00,-10.04,20.00,INTERNAL TEMP,287.69,57.44,120.63,-1.62,-1.59,-4.00,-0.93,-2.33,0.89,7.46,-6.48,-1.99,8.39,-4.15,-2.89,1
18688,13,0.00,-10.04,20.00,INTERNAL TEMP,343.94,39.81,-164.00,0.02,-0.79,-0.47,2.19,0.96,-1.26,8.41,3.06,-8.54,6.22,2.09,-7.28,1
19262,14,0.00,-10.04,20.00,INTERNAL TEMP,337.38,33.25,-172.25,-0.33,0.63,1.32,1.54,-2.12,-1.10,6.98,-1.06,-9.19,5.44,1.05,-8.09,1
19836,15,0.00,-10.04,20.00,INTERNAL TEMP,354.94,34.38,-160.25,0.30,-0.69,-0.82,1.23,1.60,0.66,6.77,4.33,-6.95,5.53,2.72,-7.61,1
20412,16,0.00,-10.04,20.00,INTERNAL TEMP,66.13,34.50,-131.31,-0.70,-0.05,0.60,2.45,0.41,-1.05,8.01,6.47,-6.39,5.58,6.07,-5.30,1
20983,17,0.00,-10.04,20.00,INTERNAL TEMP,95.25,23.38,-112.44,-0.86,0.64,-0.67,1.34,0.70,0.62,5.23,9.02,-2.81,3.89,8.31,-3.44,1
21558,18,0.00,-10.04,20.00,INTERNAL TEMP,93.25,23.25,-108.81,0.36,-0.05,-0.00,1.37,0.12,-0.82,5.01,8.56,-3.48,3.85,8.52,-2.93,1
22133,19,0.00,-10.04,20.00,INTERNAL TEMP,127.56,-7.94,-102.25,-0.25,0.55,0.10,2.27,-0.19,1.02,0.93,9.29,-1.02,-1.33,9.49,-2.05,1
22707,20,0.00,-10.04,20.00,INTERNAL TEMP,79.31,32.69,-111.94,0.87,0.16,1.52,-3.30,-0.39,1.26,2.11,7.14,-1.87,5.41,7.54,-3.14,1
23280,21,0.00,-10.04,20.00,INTERNAL TEMP,65.19,28.00,-129.75,1.32,-0.37,-1.43,0.20,0.32,-1.55,4.81,6.98,-7.08,4.61,6.65,-5.53,1
23853,22,0.00,-10.04,20.00,INTERNAL TEMP,262.13,0.31,-166.69,0.21,0.15,-0.01,0.75,0.52,0.05,0.81,2.77,-9.48,0.05,2.25,-9.54,1
24430,23,0.00,-10.04,20.00,INTERNAL TEMP,265.38,-1.06,-176.81,-0.13,-0.37,-0.27,0.42,0.46,0.53,0.06,1.01,-9.37,-0.23,0.54,-9.78,1
25003,24,0.00,-10.04,20.00,INTERNAL TEMP,248.75,1.50,176.69,0.05,0.15,-0.38,0.22,-0.04,-0.35,0.53,-0.58,-10.27,0.27,-0.56,-9.78,1
25575,25,0.00,-10.04,20.00,INTERNAL TEMP,245.44,0.81,178.38,0.17,0.07,-0.18,-0.02,0.05,-0.16,0.15,-0.25,-10.05,0.14,-0.28,-9.80,1
26149,26,0.00,-10.04,20.00,INTERNAL TEMP,248.56,-2.63,177.56,-0.54,-0.14,0.34,0.09,-0.38,-2.73,-0.37,-0.74,-12.52,-0.47,-0.36,-9.78,1
26851,27,0.00,-10.04,20.00,INTERNAL TEMP,288.44,0.00,-143.31,-1.01,0.05,0.76,0.35,-0.22,0.48,0.53,5.67,-7.35,0.05,5.93,-7.80,1
27492,28,0.00,-10.04,20.00,INTERNAL TEMP,83.00,14.06,-122.63,-0.06,0.12,0.22,-0.07,-0.29,-0.07,2.44,7.62,-5.33,2.41,8.00,-5.12,1
28134,29,0.00,-10.04,20.00,INTERNAL TEMP,275.31,-1.50,-142.06,2.37,0.09,-3.34,-0.04,-2.79,2.44,-0.30,3.22,-5.28,-0.46,5.82,-7.87,1
28761,30,0.00,-10.04,20.00,INTERNAL TEMP,237.69,2.94,178.56,0.26,0.28,-0.44,0.14,0.76,-0.07,0.67,0.50,-9.86,0.53,-0.26,-9.78,1
29404,31,0.00,-10.04,20.00,INTERNAL TEMP,234.94,3.13,172.25,-0.02,-0.00,0.11,-0.04,0.38,-0.87,0.49,-0.92,-10.57,0.53,-1.30,-9.70,1
30044,32,0.00,-10.04,20.00,INTERNAL TEMP,242.81,-1.19,172.81,-0.03,0.02,0.21,-0.15,0.30,-0.20,-0.33,-0.90,-9.96,-0.21,-1.21,-9.72,1
30682,33,0.00,-10.04,20.00,INTERNAL TEMP,253.06,-5.00,173.25,-0.28,-0.24,0.71,-0.04,0.12,0.15,-0.90,-1.02,-9.54,-0.86,-1.14,-9.70,1
31347,34,0.00,-10.04,20.00,INTERNAL TEMP,267.00,-0.88,174.56,-0.12,0.36,1.10,0.46,0.06,0.19,0.30,-0.86,-9.56,-0.13,-0.91,-9.76,1
31986,35,0.00,-10.04,20.00,INTERNAL TEMP,310.94,10.50,-161.13,-0.71,0.84,1.54,0.04,-0.08,-0.16,1.83,3.02,-9.29,1.79,3.11,-9.12,1
32627,36,0.00,-10.04,20.00,INTERNAL TEMP,325.81,27.50,-156.75,-0.49,0.29,0.34,0.10,0.50,-1.49,4.67,3.96,-9.45,4.56,3.45,-7.95,1
33256,37,0.00,-10.04,20.00,INTERNAL TEMP,36.31,50.81,-126.75,-0.31,0.63,-0.67,-0.23,0.03,-0.57,7.36,4.99,-4.28,7.59,5.02,-3.64,1
33932,38,0.00,-10.04,20.00,INTERNAL TEMP,70.19,30.38,-94.81,-0.47,-0.20,-2.67,-0.59,0.75,0.52,4.16,9.29,-0.16,4.75,8.54,-0.68,1
34573,39,0.00,-10.04,20.00,INTERNAL TEMP,75.69,22.31,-94.63,-0.03,0.23,-0.57,-0.13,0.09,-0.54,3.43,8.87,-1.20,3.69,9.05,-0.72,1
35213,40,0.00,-10.04,20.00,INTERNAL TEMP,141.69,-28.94,-81.31,-0.13,-0.54,-0.91,-0.41,0.15,0.91,-5.16,8.63,2.20,-4.82,8.43,1.31,1
35843,41,0.00,-10.04,20.00,INTERNAL TEMP,180.44,-77.06,-83.00,0.02,-0.16,-1.97,0.97,-0.63,0.15,-8.58,1.54,0.41,-9.55,2.17,0.26,1
36519,42,0.00,-10.04,20.00,INTERNAL TEMP,220.44,-68.69,90.31,-0.11,-0.39,1.23,2.04,1.03,0.01,-7.77,-2.61,0.04,-9.19,-3.40,0.00,1
37158,43,0.00,-10.04,20.00,INTERNAL TEMP,243.13,-26.13,139.44,-0.85,0.42,-1.75,-0.23,1.52,2.61,-4.56,-4.19,-4.07,-4.32,-5.72,-6.68,1
37786,44,0.00,-10.04,20.00,INTERNAL TEMP,87.00,15.13,162.88,-0.44,-0.44,0.31,-0.18,0.41,-0.73,2.33,-2.33,-9.80,2.51,-2.74,-9.07,1
38427,45,0.00,-10.04,20.00,INTERNAL TEMP,111.13,1.88,168.19,0.30,-0.46,1.18,-0.31,0.48,-1.45,0.05,-1.56,-11.19,0.25,-2.03,-9.58,1
39103,46,0.00,-10.04,20.00,INTERNAL TEMP,148.31,-0.50,156.19,0.38,1.08,-0.26,-0.24,-0.14,-0.05,-0.23,-4.14,-9.00,0.00,-3.99,-8.95,1
39744,47,0.00,-10.04,20.00,INTERNAL TEMP,142.69,-1.56,147.38,0.41,-1.06,1.03,-7.13,-2.60,-4.96,-6.29,-7.34,-13.06,-0.38,-5.30,-8.24,1
40374,48,0.00,-10.04,20.00,INTERNAL TEMP,291.19,-5.19,126.25,1.70,-0.26,0.18,-2.30,-0.42,-0.35,-3.18,-8.29,-6.13,-0.92,-7.95,-5.65,1
